656, 0, 200, 00:29.006
658, 1, 200, 00:29.205
659, 2, 200, 00:29.407
661, 3, 200, 00:29.608
663, 4, 200, 00:29.808
665, 5, 200, 00:30.009
687, 6, 200, 00:31.208
692, 7, 200, 00:31.409
709, 8, 200, 00:32.607
713, 9, 200, 00:32.809
740, 10, 200, 00:34.009
812, 11, 213, 00:37.209
822, 12, 200, 00:38.419
823, 13, 200, 00:38.618
825, 14, 200, 00:38.818
826, 15, 200, 00:39.020
827, 16, 200, 00:39.219
829, 17, 200, 00:39.420
830, 18, 200, 00:39.622
832, 19, 200, 00:39.821
836, 20, 422, 00:40.022
844, 21, 200, 00:41.438
846, 22, 200, 00:41.641
847, 23, 200, 00:41.840
848, 24, 200, 00:42.039
850, 25, 200, 00:42.241
852, 26, 200, 00:42.443
853, 27, 200, 00:42.642
855, 28, 200, 00:42.843
857, 29, 200, 00:43.044
859, 30, 200, 00:43.244
872, 31, 200, 00:44.441
874, 32, 200, 00:44.641
876, 33, 200, 00:44.842
878, 34, 200, 00:45.043
880, 35, 200, 00:45.244
883, 36, 200, 00:45.444
896, 37, 200, 00:46.641
899, 38, 200, 00:46.841
901, 39, 200, 00:47.043
904, 40, 200, 00:47.244
